name,epoch,acc,acc_A0Y0,acc_A0Y1,acc_A1Y0,acc_A1Y1,acc_var,acc_dis,err_op_0,err_op_1,err_odd
5000-0.15-6,Val 1,59.17375458431128,75.34626007080078,44.54277038574219,72.58065032958984,31.147539138793945,18.69540023803711,0.08396053314208984,2.7656097412109375,13.395231246948242,16.16084098815918
5000-0.15-6,Val 2,57.71567432964413,48.47645568847656,69.61652374267578,54.83871078491211,49.180328369140625,8.499689102172852,0.06681770086288452,6.362255096435547,20.436195373535156,26.798450469970703
5000-0.15-6,Val 3,60.753341452319304,84.76454162597656,38.34808349609375,77.41934967041016,26.229507446289062,24.910606384277344,0.10253196954727173,7.345191955566406,12.118576049804688,19.463768005371094
5000-0.15-6,Val 4,61.60388818604109,68.97506713867188,56.932151794433594,64.51612854003906,40.983604431152344,10.648029327392578,0.1029733419418335,4.4589385986328125,15.94854736328125,20.407485961914062
5000-0.15-6,Val 5,62.33292832959756,85.8725814819336,41.297935485839844,70.96774291992188,31.147539138793945,22.040956497192383,0.13066202402114868,14.904838562011719,10.150396347045898,25.055234909057617
5000-0.15-6,Val 6,65.37059535030026,83.93351745605469,49.262535095214844,74.19355010986328,36.06557083129883,19.101280212402344,0.11858302354812622,9.739967346191406,13.196964263916016,22.936931610107422
5000-0.15-6,Val 7,64.76306198694871,91.4127426147461,39.52802276611328,83.87096405029297,27.868852615356445,27.414865493774414,0.10188150405883789,7.541778564453125,11.659170150756836,19.20094871520996
5000-0.15-6,Val 8,64.64155530408115,58.72576141357422,74.04129791259766,53.22581100463867,59.016395568847656,7.735723495483398,0.1004529595375061,5.499950408935547,15.02490234375,20.524852752685547
5000-0.15-6,Val 9,66.95018228783498,52.35456848144531,84.95574951171875,50.0,70.49180603027344,14.24860668182373,0.0798025131225586,2.3545684814453125,14.463943481445312,16.818511962890625
5000-0.15-6,Val 10,66.09963544287051,49.30747985839844,87.6106185913086,41.935482025146484,70.49180603027344,17.966962814331055,0.11759579181671143,7.371997833251953,17.118812561035156,24.49081039428711
5000-0.15-6,Test 9,65.06666707356771,51.02564239501953,84.72222137451172,52.39361572265625,73.52941131591797,14.276050567626953,0.04266667366027832,1.3679733276367188,11.19281005859375,12.560783386230469
5000-0.15-6,Test 9,65.06666707356771,51.02564239501953,84.72222137451172,52.39361572265625,73.52941131591797,14.276050567626953,0.04266667366027832,1.3679733276367188,11.19281005859375,12.560783386230469
