name,epoch,acc,acc_A0Y0,acc_A0Y1,acc_A1Y0,acc_A1Y1,acc_var,acc_dis,err_op_0,err_op_1,err_odd
50-50,0,49.317738791423004,7.012195110321045,95.94755554199219,13.064516067504883,88.66141510009766,41.2691650390625,0.03371790051460266,6.052320957183838,7.286140441894531,13.338460922241211
50-50,1,54.35347628330084,28.252033233642578,83.55184936523438,43.54838562011719,66.77165985107422,21.208757400512695,0.015961170196533203,15.29635238647461,16.780189514160156,32.076541900634766
50-50,2,58.187134502923975,55.894309997558594,64.12395477294922,67.90322875976562,44.409446716308594,9.009529113769531,0.036659061908721924,12.008918762207031,19.714508056640625,31.723426818847656
50-50,3,54.80831708901884,31.199186325073242,81.04887390136719,47.90322494506836,63.46456527709961,18.464609146118164,0.01635366678237915,16.704038619995117,17.584308624267578,34.28834533691406
50-50,4,56.75763482285289,44.71544647216797,70.56019592285156,62.09677505493164,51.968502044677734,9.818766593933105,0.0036212801933288574,17.381328582763672,18.591693878173828,35.9730224609375
