name,epoch,acc,acc_A0Y0,acc_A0Y1,acc_A1Y0,acc_A1Y1,acc_var,acc_dis,err_op_0,err_op_1,err_odd
5000-0.325,0,57.47238466536712,90.243896484375,23.718713760375977,91.93548583984375,17.637794494628906,35.27637481689453,0.05284363031387329,1.69158935546875,6.08091926574707,7.77250862121582
5000-0.325,1,58.83690708128177,66.46341705322266,54.11204147338867,75.0,37.480316162109375,14.111382484436035,0.0476299524307251,8.536582946777344,16.631725311279297,25.16830825805664
5000-0.325,2,58.25211176088369,46.13821029663086,73.18236541748047,60.000003814697266,55.590553283691406,9.732587814331055,0.008158266544342041,13.861793518066406,17.591812133789062,31.45360565185547
5000-0.325,3,59.84405457593932,90.8536605834961,29.558998107910156,90.32257843017578,22.047243118286133,32.501731872558594,0.06867098808288574,0.5310821533203125,7.511754989624023,8.042837142944336
5000-0.325,4,59.25925925430189,48.0691032409668,73.30154418945312,60.000003814697266,57.322837829589844,9.027981758117676,0.010364234447479248,11.930900573730469,15.978706359863281,27.90960693359375
5000-0.325,5,62.085769975549454,84.9593505859375,42.19308853149414,84.3548355102539,31.181102752685547,24.29987335205078,0.07826817035675049,0.6045150756835938,11.011985778808594,11.616500854492188
5000-0.325,6,63.4827810216833,62.296749114990234,68.29559326171875,65.16128540039062,57.322837829589844,4.035761833190918,0.038623809814453125,2.8645362854003906,10.972755432128906,13.837291717529297
5000-0.325,7,65.46458739193326,59.45122146606445,75.20858001708984,59.83871078491211,67.40157318115234,6.451897621154785,0.030378997325897217,0.38748931884765625,7.8070068359375,8.194496154785156
5000-0.325,8,67.02404158048772,90.95528411865234,44.57687759399414,88.2258071899414,38.89763641357422,24.030132293701172,0.06343597173690796,2.7294769287109375,5.679241180419922,8.40871810913086
5000-0.325,9,57.95971409510761,99.08536529541016,12.872467994689941,98.38710021972656,14.330709457397461,42.57115936279297,0.03550994396209717,0.6982650756835938,1.4582414627075195,2.1565065383911133
5000-0.325,10,70.85769980506822,85.56910705566406,60.90583801269531,84.51612854003906,47.87401580810547,16.00824737548828,0.08242225646972656,1.052978515625,13.031822204589844,14.084800720214844
5000-0.325,11,71.89733592994497,84.756103515625,64.83909606933594,83.70967864990234,49.7637825012207,14.486917495727539,0.09055823087692261,1.0464248657226562,15.075313568115234,16.12173843383789
5000-0.325,12,73.16439246263808,74.69512176513672,76.28128814697266,71.61289978027344,68.18898010253906,3.095848321914673,0.05544644594192505,3.0822219848632812,8.092308044433594,11.174530029296875
5000-0.325,13,74.65886939075413,72.4593505859375,81.04887390136719,72.58065032958984,71.6535415649414,3.834763288497925,0.04300951957702637,0.12129974365234375,9.395332336425781,9.516632080078125
5000-0.325,14,75.01624431448992,72.256103515625,81.52562713623047,71.1290283203125,74.48818969726562,4.039456367492676,0.036935269832611084,1.1270751953125,7.037437438964844,8.164512634277344
5000-0.325,15,74.88628979361313,63.92276382446289,89.51132202148438,70.32257843017578,77.00787353515625,9.474271774291992,0.019942164421081543,6.399814605712891,12.503448486328125,18.903263092041016
5000-0.325,16,74.85380116711195,62.90650177001953,89.98808288574219,67.90322875976562,80.15748596191406,10.578645706176758,0.012666821479797363,4.996726989746094,9.830596923828125,14.827323913574219
5000-0.325,17,64.2949967511371,34.45121765136719,96.0667495727539,37.09677505493164,95.11811065673828,29.925718307495117,0.036456286907196045,2.645557403564453,0.948638916015625,3.594196319580078
5000-0.325,18,77.61533463287849,73.57723999023438,86.41239166259766,73.54838562011719,76.22047424316406,5.292840480804443,0.045839667320251465,0.0288543701171875,10.191917419433594,10.220771789550781
5000-0.325,19,75.37361922335361,86.68699645996094,69.60667419433594,84.51612854003906,56.53543472290039,12.200499534606934,0.08467543125152588,2.170867919921875,13.071239471435547,15.242107391357422
