name,epoch,acc,acc_A0Y0,acc_A0Y1,acc_A1Y0,acc_A1Y1,acc_var,acc_dis,err_op_0,err_op_1,err_odd
5000-0.15-1,Val 1,47.752126334504396,6.527414798736572,95.26813507080078,23.4375,86.440673828125,38.530799865722656,0.06944254040718079,16.910085678100586,8.827461242675781,25.737546920776367
5000-0.15-1,Val 2,59.659781306511285,93.47257995605469,20.18927574157715,93.75,15.254237174987793,37.984989166259766,0.041881561279296875,0.2774200439453125,4.9350385665893555,5.212458610534668
5000-0.15-1,Val 3,61.48238154952465,82.24542999267578,38.170345306396484,82.8125,28.81355857849121,24.741483688354492,0.053751468658447266,0.5670700073242188,9.356786727905273,9.923856735229492
5000-0.15-1,Val 4,58.201701112100594,58.74673843383789,60.56782531738281,62.5,37.28813552856445,10.183290481567383,0.09164923429489136,3.7532615661621094,23.27968978881836,27.03295135498047
5000-0.15-1,Val 5,61.96840818829264,69.7127914428711,55.520503997802734,71.875,35.59321975708008,14.472333908081055,0.08814167976379395,2.1622085571289062,19.927284240722656,22.089492797851562
5000-0.15-1,Val 6,58.444714310971676,52.74151611328125,68.13880157470703,59.375,42.37288284301758,9.415236473083496,0.08494776487350464,6.63348388671875,25.765918731689453,32.3994026184082
5000-0.15-1,Val 7,64.39854188272469,71.80156707763672,57.72870635986328,75.0,40.67796325683594,13.564618110656738,0.06891989707946777,3.1984329223632812,17.050743103027344,20.249176025390625
5000-0.15-1,Val 8,61.72539485963842,55.35247802734375,71.29338073730469,65.625,47.45762634277344,9.193384170532227,0.056608617305755615,10.27252197265625,23.83575439453125,34.1082763671875
5000-0.15-1,Val 9,66.70716891282963,84.07310485839844,47.63406753540039,85.9375,35.59321975708008,22.11936378479004,0.05782812833786011,1.8643951416015625,12.040847778320312,13.905242919921875
5000-0.15-1,Val 10,67.92223563953274,75.97911071777344,60.25236892700195,79.6875,44.06779861450195,14.11524486541748,0.06255519390106201,3.7083892822265625,16.1845703125,19.892959594726562
5000-0.15-1,Test 2,58.933333485921224,93.84615325927734,26.944442749023438,95.21276092529297,16.844919204711914,36.49570083618164,0.0559999942779541,1.366607666015625,10.099523544311523,11.466131210327148
5000-0.15-1,Test 10,64.80000005086264,73.33333587646484,61.66666793823242,77.39361572265625,46.256683349609375,12.09352970123291,0.05866670608520508,4.060279846191406,15.409984588623047,19.470264434814453
