name,epoch,acc,acc_A0Y0,acc_A0Y1,acc_A1Y0,acc_A1Y1,acc_var,acc_dis,err_op_0,err_op_1,err_odd
5000-0.4-100,Val 1,57.983193300208264,91.28919982910156,19.24882698059082,93.82715606689453,16.374269485473633,37.39789581298828,0.0654594898223877,2.5379562377929688,2.8745574951171875,5.412513732910156
5000-0.4-100,Val 2,59.54381754990815,70.3832778930664,49.295772552490234,76.543212890625,38.011695861816406,15.582398414611816,0.046432435512542725,6.159934997558594,11.284076690673828,17.444011688232422
5000-0.4-100,Val 3,60.26410566515425,78.04877471923828,43.19248962402344,80.86419677734375,32.16374206542969,21.27329444885254,0.07344144582748413,2.8154220581054688,11.02874755859375,13.844169616699219
5000-0.4-100,Val 4,54.74189678160082,32.40418243408203,79.34272003173828,48.76543426513672,67.25146484375,17.867834091186523,0.058582603931427,16.361251831054688,12.091255187988281,28.45250701904297
5000-0.4-100,Val 5,58.223289269931605,49.12892150878906,69.48356628417969,59.87654495239258,57.894737243652344,7.233541011810303,0.010588586330413818,10.747623443603516,11.588829040527344,22.33645248413086
5000-0.4-100,Val 6,62.665066140897274,63.414634704589844,64.78873443603516,65.43209838867188,56.140350341796875,3.711625099182129,0.03339338302612305,2.0174636840820312,8.648384094238281,10.665847778320312
5000-0.4-100,Val 7,52.58103255034924,15.331010818481445,94.83567810058594,20.987653732299805,92.39765930175781,37.79146957397461,0.0845765769481659,5.656642913818359,2.438018798828125,8.094661712646484
5000-0.4-100,Val 8,68.42737097127669,80.48780822753906,58.685447692871094,80.24691009521484,49.122806549072266,13.656991958618164,0.06935739517211914,0.24089813232421875,9.562641143798828,9.803539276123047
5000-0.4-100,Val 9,67.46698716107537,73.5191650390625,66.66667175292969,67.90123748779297,57.894737243652344,5.597105979919434,0.07837235927581787,5.617927551269531,8.771934509277344,14.389862060546875
5000-0.4-100,Val 10,68.66746698679472,72.12543487548828,67.13615417480469,72.22222137451172,61.403507232666016,4.441550254821777,0.03333330154418945,0.0967864990234375,5.732646942138672,5.829433441162109
5000-0.4-100,Val 11,71.78871562357854,77.70034790039062,70.42253875732422,73.456787109375,61.988304138183594,5.753866672515869,0.07032430171966553,4.243560791015625,8.434234619140625,12.67779541015625
5000-0.4-100,Val 12,63.26530648880646,100.0,24.88262939453125,98.76543426513672,15.789472579956055,39.656272888183594,0.11843842267990112,1.2345657348632812,9.093156814575195,10.327722549438477
5000-0.4-100,Val 13,72.86914768196097,90.243896484375,56.33803176879883,91.97531127929688,46.198829650878906,20.249813079833984,0.0733153223991394,1.731414794921875,10.139202117919922,11.870616912841797
5000-0.4-100,Val 14,74.30972388955583,87.4564437866211,64.78873443603516,80.86419677734375,57.894737243652344,11.897271156311035,0.08730930089950562,6.592247009277344,6.8939971923828125,13.486244201660156
5000-0.4-100,Val 15,73.94958010670088,71.08013916015625,83.09858703613281,66.66667175292969,74.26901245117188,6.020047187805176,0.05629432201385498,4.4134674072265625,8.829574584960938,13.2430419921875
5000-0.4-100,Val 16,62.42497014827659,99.65156555175781,20.187793731689453,98.76543426513672,18.12865447998047,40.03298568725586,0.0844264030456543,0.8861312866210938,2.0591392517089844,2.945270538330078
5000-0.4-100,Val 17,76.83073210973842,87.10801696777344,68.54460144042969,82.71604919433594,64.32748413085938,9.485501289367676,0.059267282485961914,4.3919677734375,4.2171173095703125,8.609085083007812
5000-0.4-100,Val 18,74.78991578320782,75.26132202148438,80.28169250488281,67.90123748779297,73.68421173095703,4.416640758514404,0.06529128551483154,7.360084533691406,6.597480773925781,13.957565307617188
5000-0.4-100,Val 19,72.38895571961694,61.32404327392578,87.79342651367188,63.58024597167969,80.11695861816406,11.117445945739746,0.0052793025970458984,2.2562026977539062,7.6764678955078125,9.932670593261719
5000-0.4-100,Val 20,74.78991619535998,71.08013916015625,80.28169250488281,73.456787109375,75.4385986328125,3.384483575820923,0.005255281925201416,2.37664794921875,4.8430938720703125,7.2197418212890625
5000-0.4-100,Val 21,76.11044413187638,70.3832778930664,85.91549682617188,64.81481170654297,84.21052551269531,8.971447944641113,0.022252261638641357,5.5684661865234375,1.7049713134765625,7.2734375
5000-0.4-100,Val 22,75.8703481392557,93.37979125976562,60.09389877319336,91.35802459716797,51.46199035644531,18.562040328979492,0.08329129219055176,2.0217666625976562,8.631908416748047,10.653675079345703
5000-0.4-100,Val 23,76.35054026188112,71.42857360839844,84.03755950927734,77.16049194335938,74.26901245117188,4.68367338180542,0.011243224143981934,5.7319183349609375,9.768547058105469,15.500465393066406
5000-0.4-100,Val 24,76.3505403076758,75.26132202148438,80.75117492675781,74.0740737915039,74.85380554199219,2.6420249938964844,0.03125530481338501,1.1872482299804688,5.897369384765625,7.084617614746094
5000-0.4-100,Val 25,74.06962808011389,67.24738311767578,90.1408462524414,54.32098388671875,84.21052551269531,14.121274948120117,0.07330328226089478,12.926399230957031,5.930320739746094,18.856719970703125
5000-0.4-100,Val 26,74.30972391245317,69.68641662597656,87.79342651367188,55.55555725097656,83.04093170166016,12.557867050170898,0.07730329036712646,14.130859375,4.752494812011719,18.88335418701172
5000-0.4-100,Val 27,78.15126064158574,80.13937377929688,82.62910461425781,75.30864715576172,71.92982482910156,4.156406879425049,0.07626426219940186,4.830726623535156,10.69927978515625,15.530006408691406
5000-0.4-100,Val 28,78.51140437864599,93.03135681152344,62.441314697265625,89.50617218017578,63.74269104003906,14.150884628295898,0.03723722696304321,3.5251846313476562,1.3013763427734375,4.826560974121094
5000-0.4-100,Val 29,78.03121266817274,74.21602630615234,84.50704193115234,67.28395080566406,86.5497055053711,7.818467617034912,0.014228224754333496,6.932075500488281,2.04266357421875,8.974739074707031
5000-0.4-100,Val 30,73.70948370192804,65.8536605834961,90.1408462524414,47.53086471557617,91.22806549072266,18.192873001098633,0.06230032444000244,18.322795867919922,1.08721923828125,19.410015106201172
5000-0.4-100,Val 31,77.67106847316563,90.243896484375,68.07511138916016,88.2716064453125,58.479530334472656,13.44400691986084,0.0782703161239624,1.9722900390625,9.5955810546875,11.56787109375
5000-0.4-100,Val 32,75.39015601663029,70.3832778930664,85.44601440429688,67.90123748779297,78.3625717163086,6.910813808441162,0.03526729345321655,2.4820404052734375,7.083442687988281,9.565483093261719
5000-0.4-100,Val 33,77.79111672134674,85.36585235595703,69.95305633544922,82.09876251220703,70.7602310180664,6.792847156524658,0.025237202644348145,3.26708984375,0.8071746826171875,4.0742645263671875
5000-0.4-100,Val 34,78.87154848206373,86.75958251953125,70.42253875732422,84.56790161132812,70.7602310180664,7.5768513679504395,0.02322518825531006,2.191680908203125,0.3376922607421875,2.5293731689453125
5000-0.4-100,Val 35,71.06842746253776,56.09756088256836,93.42723083496094,45.679012298583984,92.39765930175781,21.335609436035156,0.023303329944610596,10.418548583984375,1.029571533203125,11.4481201171875
5000-0.4-100,Val 36,77.43097225157153,90.243896484375,67.60562896728516,87.6543197631836,58.479530334472656,13.380434036254883,0.0792732834815979,2.5895767211914062,9.1260986328125,11.715675354003906
5000-0.4-100,Val 37,79.23169281445489,82.22996520996094,78.87323760986328,78.39506530761719,75.4385986328125,2.4091339111328125,0.03923124074935913,3.83489990234375,3.4346389770507812,7.269538879394531
5000-0.4-100,Val 38,78.39135649682237,84.66899108886719,75.58685302734375,77.16049194335938,72.51461791992188,4.472769737243652,0.06025230884552002,7.5084991455078125,3.072235107421875,10.580734252929688
5000-0.4-100,Val 39,75.7503002116374,93.03135681152344,59.15492630004883,91.97531127929688,52.046783447265625,18.625341415405273,0.07128530740737915,1.0560455322265625,7.108142852783203,8.164188385009766
5000-0.4-100,Val 40,77.79111672134674,79.09407806396484,80.75117492675781,74.0740737915039,75.4385986328125,2.6923272609710693,0.05025225877761841,5.0200042724609375,5.3125762939453125,10.33258056640625
5000-0.4-100,Val 41,78.63145285580052,73.5191650390625,87.32394409179688,69.13580322265625,85.38011932373047,7.701188087463379,0.019225239753723145,4.38336181640625,1.9438247680664062,6.327186584472656
5000-0.4-100,Val 42,78.151260458407,79.09407806396484,79.81220245361328,72.83950805664062,79.53216552734375,2.886561870574951,0.031237244606018066,6.254570007324219,0.28003692626953125,6.53460693359375
5000-0.4-100,Val 43,80.07202867414055,85.36585235595703,79.81220245361328,75.30864715576172,76.02339172363281,3.9876365661621094,0.07324320077896118,10.057205200195312,3.7888107299804688,13.846015930175781
5000-0.4-100,Val 44,79.95198111287972,82.57839965820312,78.87323760986328,79.62963104248047,77.19297790527344,1.9487000703811646,0.026216208934783936,2.9487686157226562,1.6802597045898438,4.6290283203125
5000-0.4-100,Val 45,78.99159663865547,85.71428680419922,74.64788818359375,81.48148345947266,70.7602310180664,5.813576698303223,0.05024021863937378,4.2328033447265625,3.8876571655273438,8.120460510253906
5000-0.4-100,Val 46,79.351741062636,79.79093933105469,81.69013977050781,74.0740737915039,80.7017593383789,2.9583218097686768,0.031225204467773438,5.716865539550781,0.9883804321289062,6.7052459716796875
5000-0.4-100,Val 47,78.75150055444541,84.66899108886719,74.64788818359375,84.56790161132812,68.42105102539062,6.9025774002075195,0.0412372350692749,0.1010894775390625,6.226837158203125,6.3279266357421875
5000-0.4-100,Val 48,79.83193304787736,81.88153839111328,80.75117492675781,77.16049194335938,77.77777862548828,1.9767709970474243,0.039225220680236816,4.721046447753906,2.9733963012695312,7.6944427490234375
5000-0.4-100,Val 49,80.55222084256066,82.92682647705078,80.75117492675781,80.24691009521484,76.60818481445312,2.2707324028015137,0.03621619939804077,2.6799163818359375,4.1429901123046875,6.822906494140625
5000-0.4-100,Val 50,80.55222125471282,82.92682647705078,80.75117492675781,79.62963104248047,77.19297790527344,2.0666682720184326,0.03621619939804077,3.2971954345703125,3.558197021484375,6.8553924560546875
5000-0.4-100,Test 34,76.86666727701822,86.4102554321289,74.44444274902344,80.31914520263672,65.77539825439453,7.612755298614502,0.07600003480911255,6.0911102294921875,8.669044494628906,14.760154724121094
5000-0.4-100,Test 50,78.00000081380209,81.79486846923828,81.3888931274414,76.59574890136719,72.19251251220703,3.9237818717956543,0.07199996709823608,5.199119567871094,9.196380615234375,14.395500183105469
